"","Var1","Freq"
"1","AK",155
"2","AL",154
"3","AR",155
"4","AS",145
"5","AZ",157
"6","CA",157
"7","CO",156
"8","CT",154
"9","DC",156
"10","DE",155
"11","FL",157
"12","GA",157
"13","GU",145
"14","HI",154
"15","IA",155
"16","ID",154
"17","IL",157
"18","IN",155
"19","KS",155
"20","KY",155
"21","LA",154
"22","MA",149
"23","MD",156
"24","ME",154
"25","MI",160
"26","MN",155
"27","MO",154
"28","MP",145
"29","MS",154
"30","MT",154
"31","NC",157
"32","ND",154
"33","NE",156
"34","NH",157
"35","NJ",156
"36","NM",155
"37","NV",156
"38","NY",157
"39","OH",156
"40","OK",154
"41","OR",157
"42","PA",155
"43","PR",145
"44","RI",160
"45","SC",157
"46","SD",154
"47","TN",156
"48","TX",157
"49","UT",154
"50","VA",156
"51","VI",145
"52","VT",155
"53","WA",199
"54","WI",157
"55","WV",155
"56","WY",154
